UBIGEO,ANIO,MESES_CON_PROD,MESES_CON_PRECIO_OK,PRICE_COVERAGE,ALL_PRICE_OK
200101,2015,57,57,1.0,True
200101,2016,135,135,1.0,True
200101,2017,118,118,1.0,True
200101,2018,104,104,1.0,True
200101,2019,110,110,1.0,True
200101,2020,121,121,1.0,True
200101,2021,132,132,1.0,True
200101,2022,109,109,1.0,True
200101,2023,114,114,1.0,True
200101,2024,113,113,1.0,True
200104,2015,48,48,1.0,True
200104,2016,100,100,1.0,True
200104,2017,85,85,1.0,True
200104,2018,73,73,1.0,True
200104,2019,89,89,1.0,True
200104,2020,88,88,1.0,True
200104,2021,85,85,1.0,True
200104,2022,87,87,1.0,True
200104,2023,73,73,1.0,True
200104,2024,73,73,1.0,True
200105,2015,44,44,1.0,True
200105,2016,125,125,1.0,True
200105,2017,103,103,1.0,True
200105,2018,96,96,1.0,True
200105,2019,122,122,1.0,True
200105,2020,119,119,1.0,True
200105,2021,127,127,1.0,True
200105,2022,103,103,1.0,True
200105,2023,108,108,1.0,True
200105,2024,108,108,1.0,True
200107,2015,42,42,1.0,True
200107,2016,93,93,1.0,True
200107,2017,76,76,1.0,True
200107,2018,78,78,1.0,True
200107,2019,100,100,1.0,True
200107,2020,108,108,1.0,True
200107,2021,106,106,1.0,True
200107,2022,92,92,1.0,True
200107,2023,79,79,1.0,True
200107,2024,78,78,1.0,True
200108,2015,12,12,1.0,True
200108,2016,37,37,1.0,True
200108,2017,37,37,1.0,True
200108,2018,31,31,1.0,True
200108,2019,49,49,1.0,True
200108,2020,64,64,1.0,True
200108,2021,71,71,1.0,True
200108,2022,65,65,1.0,True
200108,2023,83,83,1.0,True
200108,2024,79,79,1.0,True
200109,2015,39,39,1.0,True
200109,2016,86,86,1.0,True
200109,2017,73,73,1.0,True
200109,2018,71,71,1.0,True
200109,2019,73,73,1.0,True
200109,2020,87,87,1.0,True
200109,2021,97,97,1.0,True
200109,2022,96,96,1.0,True
200109,2023,86,86,1.0,True
200109,2024,83,83,1.0,True
200110,2015,31,31,1.0,True
200110,2016,67,67,1.0,True
200110,2017,67,67,1.0,True
200110,2018,66,66,1.0,True
200110,2019,64,64,1.0,True
200110,2020,84,84,1.0,True
200110,2021,73,73,1.0,True
200110,2022,72,72,1.0,True
200110,2023,46,46,1.0,True
200110,2024,46,46,1.0,True
200111,2015,42,42,1.0,True
200111,2016,89,89,1.0,True
200111,2017,82,82,1.0,True
200111,2018,81,81,1.0,True
200111,2019,76,76,1.0,True
200111,2020,57,57,1.0,True
200111,2021,62,62,1.0,True
200111,2022,67,67,1.0,True
200111,2023,77,77,1.0,True
200111,2024,73,73,1.0,True
200114,2015,54,54,1.0,True
200114,2016,114,114,1.0,True
200114,2017,107,107,1.0,True
200114,2018,100,100,1.0,True
200114,2019,88,88,1.0,True
200114,2020,63,63,1.0,True
200114,2021,90,90,1.0,True
200114,2022,96,96,1.0,True
200114,2023,105,105,1.0,True
200114,2024,104,104,1.0,True
200201,2015,54,54,1.0,True
200201,2016,150,150,1.0,True
200201,2017,142,142,1.0,True
200201,2018,131,131,1.0,True
200201,2019,114,114,1.0,True
200201,2020,123,123,1.0,True
200201,2021,122,122,1.0,True
200201,2022,122,122,1.0,True
200201,2023,141,141,1.0,True
200201,2024,166,166,1.0,True
200202,2015,21,21,1.0,True
200202,2016,41,41,1.0,True
200202,2017,52,52,1.0,True
200202,2018,57,57,1.0,True
200202,2019,60,60,1.0,True
200202,2020,53,53,1.0,True
200202,2021,55,55,1.0,True
200202,2022,53,53,1.0,True
200202,2023,53,53,1.0,True
200202,2024,63,63,1.0,True
200203,2015,39,39,1.0,True
200203,2016,92,92,1.0,True
200203,2017,98,98,1.0,True
200203,2018,89,89,1.0,True
200203,2019,89,89,1.0,True
200203,2020,84,84,1.0,True
200203,2021,96,96,1.0,True
200203,2022,97,97,1.0,True
200203,2023,110,110,1.0,True
200203,2024,114,114,1.0,True
200204,2015,30,30,1.0,True
200204,2016,66,66,1.0,True
200204,2017,60,60,1.0,True
200204,2018,56,56,1.0,True
200204,2019,53,53,1.0,True
200204,2020,61,61,1.0,True
200204,2021,74,74,1.0,True
200204,2022,67,67,1.0,True
200204,2023,77,77,1.0,True
200204,2024,83,83,1.0,True
200205,2015,35,35,1.0,True
200205,2016,116,116,1.0,True
200205,2017,120,120,1.0,True
200205,2018,112,112,1.0,True
200205,2019,102,102,1.0,True
200205,2020,96,96,1.0,True
200205,2021,102,102,1.0,True
200205,2022,94,94,1.0,True
200205,2023,115,115,1.0,True
200205,2024,107,107,1.0,True
200206,2015,21,21,1.0,True
200206,2016,79,79,1.0,True
200206,2017,86,86,1.0,True
200206,2018,86,86,1.0,True
200206,2019,87,87,1.0,True
200206,2020,85,85,1.0,True
200206,2021,83,83,1.0,True
200206,2022,84,84,1.0,True
200206,2023,78,78,1.0,True
200206,2024,75,75,1.0,True
200207,2015,32,32,1.0,True
200207,2016,68,68,1.0,True
200207,2017,77,77,1.0,True
200207,2018,86,86,1.0,True
200207,2019,54,54,1.0,True
200207,2020,39,39,1.0,True
200207,2021,63,63,1.0,True
200207,2022,76,76,1.0,True
200207,2023,82,82,1.0,True
200207,2024,83,83,1.0,True
200208,2015,26,26,1.0,True
200208,2016,52,52,1.0,True
200208,2017,58,58,1.0,True
200208,2018,73,73,1.0,True
200208,2019,62,62,1.0,True
200208,2020,64,64,1.0,True
200208,2021,67,67,1.0,True
200208,2022,82,82,1.0,True
200208,2023,66,66,1.0,True
200208,2024,81,81,1.0,True
200209,2015,38,38,1.0,True
200209,2016,83,83,1.0,True
200209,2017,78,78,1.0,True
200209,2018,80,80,1.0,True
200209,2019,83,83,1.0,True
200209,2020,90,90,1.0,True
200209,2021,83,83,1.0,True
200209,2022,76,76,1.0,True
200209,2023,84,84,1.0,True
200209,2024,87,87,1.0,True
200210,2015,17,17,1.0,True
200210,2016,48,48,1.0,True
200210,2017,21,21,1.0,True
200210,2018,14,14,1.0,True
200210,2019,11,11,1.0,True
200210,2020,24,24,1.0,True
200210,2021,52,52,1.0,True
200210,2022,74,74,1.0,True
200210,2023,62,62,1.0,True
200210,2024,54,54,1.0,True
200301,2015,49,49,1.0,True
200301,2016,155,155,1.0,True
200301,2017,146,146,1.0,True
200301,2018,149,149,1.0,True
200301,2019,155,155,1.0,True
200301,2020,153,153,1.0,True
200301,2021,165,165,1.0,True
200301,2022,179,179,1.0,True
200301,2023,198,198,1.0,True
200301,2024,188,188,1.0,True
200302,2015,52,52,1.0,True
200302,2016,135,135,1.0,True
200302,2017,120,120,1.0,True
200302,2018,117,117,1.0,True
200302,2019,127,127,1.0,True
200302,2020,122,122,1.0,True
200302,2021,127,127,1.0,True
200302,2022,140,140,1.0,True
200302,2023,159,159,1.0,True
200302,2024,157,157,1.0,True
200303,2015,57,57,1.0,True
200303,2016,148,148,1.0,True
200303,2017,143,143,1.0,True
200303,2018,150,150,1.0,True
200303,2019,150,150,1.0,True
200303,2020,132,132,1.0,True
200303,2021,145,145,1.0,True
200303,2022,152,152,1.0,True
200303,2023,174,174,1.0,True
200303,2024,187,187,1.0,True
200304,2015,33,33,1.0,True
200304,2016,83,83,1.0,True
200304,2017,80,80,1.0,True
200304,2018,91,91,1.0,True
200304,2019,78,78,1.0,True
200304,2020,69,69,1.0,True
200304,2021,79,79,1.0,True
200304,2022,79,79,1.0,True
200304,2023,73,73,1.0,True
200304,2024,170,170,1.0,True
200305,2015,41,41,1.0,True
200305,2016,93,93,1.0,True
200305,2017,94,94,1.0,True
200305,2018,99,99,1.0,True
200305,2019,112,112,1.0,True
200305,2020,110,110,1.0,True
200305,2021,104,104,1.0,True
200305,2022,39,39,1.0,True
200305,2023,57,57,1.0,True
200305,2024,75,75,1.0,True
200306,2015,56,56,1.0,True
200306,2016,115,115,1.0,True
200306,2017,116,116,1.0,True
200306,2018,100,100,1.0,True
200306,2019,121,121,1.0,True
200306,2020,120,120,1.0,True
200306,2021,125,125,1.0,True
200306,2022,141,141,1.0,True
200306,2023,168,168,1.0,True
200306,2024,176,176,1.0,True
200307,2015,52,52,1.0,True
200307,2016,159,159,1.0,True
200307,2017,158,158,1.0,True
200307,2018,168,168,1.0,True
200307,2019,146,146,1.0,True
200307,2020,137,137,1.0,True
200307,2021,140,140,1.0,True
200307,2022,167,167,1.0,True
200307,2023,171,171,1.0,True
200307,2024,182,182,1.0,True
200308,2015,37,37,1.0,True
200308,2016,123,123,1.0,True
200308,2017,118,118,1.0,True
200308,2018,132,132,1.0,True
200308,2019,132,132,1.0,True
200308,2020,117,117,1.0,True
200308,2021,131,131,1.0,True
200308,2022,155,155,1.0,True
200308,2023,150,150,1.0,True
200308,2024,158,158,1.0,True
200401,2015,61,61,1.0,True
200401,2016,134,134,1.0,True
200401,2017,104,104,1.0,True
200401,2018,77,77,1.0,True
200401,2019,80,80,1.0,True
200401,2020,66,66,1.0,True
200401,2021,87,87,1.0,True
200401,2022,92,92,1.0,True
200401,2023,102,102,1.0,True
200401,2024,105,105,1.0,True
200402,2015,26,26,1.0,True
200402,2016,70,70,1.0,True
200402,2017,58,58,1.0,True
200402,2018,48,48,1.0,True
200402,2019,59,59,1.0,True
200402,2020,45,45,1.0,True
200402,2021,48,48,1.0,True
200402,2022,39,39,1.0,True
200402,2023,45,45,1.0,True
200402,2024,45,45,1.0,True
200403,2015,29,29,1.0,True
200403,2016,85,85,1.0,True
200403,2017,78,78,1.0,True
200403,2018,70,70,1.0,True
200403,2019,70,70,1.0,True
200403,2020,68,68,1.0,True
200403,2021,61,61,1.0,True
200403,2022,66,66,1.0,True
200403,2023,62,62,1.0,True
200403,2024,65,65,1.0,True
200404,2015,43,43,1.0,True
200404,2016,88,88,1.0,True
200404,2017,79,79,1.0,True
200404,2018,66,66,1.0,True
200404,2019,67,67,1.0,True
200404,2020,55,55,1.0,True
200404,2021,61,61,1.0,True
200404,2022,62,62,1.0,True
200404,2023,65,65,1.0,True
200404,2024,67,67,1.0,True
200405,2015,33,33,1.0,True
200405,2016,87,87,1.0,True
200405,2017,65,65,1.0,True
200405,2018,58,58,1.0,True
200405,2019,66,66,1.0,True
200405,2020,45,45,1.0,True
200405,2021,53,53,1.0,True
200405,2022,53,53,1.0,True
200405,2023,55,55,1.0,True
200405,2024,52,52,1.0,True
200406,2015,34,34,1.0,True
200406,2016,76,76,1.0,True
200406,2017,58,58,1.0,True
200406,2018,55,55,1.0,True
200406,2019,50,50,1.0,True
200406,2020,38,38,1.0,True
200406,2021,30,30,1.0,True
200406,2022,52,52,1.0,True
200406,2023,35,35,1.0,True
200406,2024,66,66,1.0,True
200407,2015,30,30,1.0,True
200407,2016,64,64,1.0,True
200407,2017,69,69,1.0,True
200407,2018,62,62,1.0,True
200407,2019,61,61,1.0,True
200407,2020,50,50,1.0,True
200407,2021,48,48,1.0,True
200407,2022,57,57,1.0,True
200407,2023,44,44,1.0,True
200407,2024,67,67,1.0,True
200408,2015,24,24,1.0,True
200408,2016,56,56,1.0,True
200408,2017,60,60,1.0,True
200408,2018,63,63,1.0,True
200408,2019,61,61,1.0,True
200408,2020,68,68,1.0,True
200408,2021,58,58,1.0,True
200408,2022,66,66,1.0,True
200408,2023,75,75,1.0,True
200408,2024,69,69,1.0,True
200409,2015,35,35,1.0,True
200409,2016,90,90,1.0,True
200409,2017,97,97,1.0,True
200409,2018,85,85,1.0,True
200409,2019,89,89,1.0,True
200409,2020,80,80,1.0,True
200409,2021,69,69,1.0,True
200409,2022,78,78,1.0,True
200409,2023,76,76,1.0,True
200409,2024,77,77,1.0,True
200410,2015,22,22,1.0,True
200410,2016,82,82,1.0,True
200410,2017,68,68,1.0,True
200410,2018,60,60,1.0,True
200410,2019,63,63,1.0,True
200410,2020,55,55,1.0,True
200410,2021,55,55,1.0,True
200410,2022,60,60,1.0,True
200410,2023,59,59,1.0,True
200410,2024,45,45,1.0,True
200502,2015,3,3,1.0,True
200502,2016,8,8,1.0,True
200502,2017,4,4,1.0,True
200502,2018,6,6,1.0,True
200502,2019,3,3,1.0,True
200502,2020,10,10,1.0,True
200502,2021,20,20,1.0,True
200502,2022,36,36,1.0,True
200502,2023,22,22,1.0,True
200502,2024,21,21,1.0,True
200503,2015,10,10,1.0,True
200503,2016,28,28,1.0,True
200503,2017,30,30,1.0,True
200503,2018,21,21,1.0,True
200503,2019,26,26,1.0,True
200503,2020,39,39,1.0,True
200503,2021,30,30,1.0,True
200503,2022,31,31,1.0,True
200503,2023,17,17,1.0,True
200503,2024,22,22,1.0,True
200504,2015,25,25,1.0,True
200504,2016,76,76,1.0,True
200504,2017,71,71,1.0,True
200504,2018,53,53,1.0,True
200504,2019,71,71,1.0,True
200504,2020,89,89,1.0,True
200504,2021,82,82,1.0,True
200504,2022,110,110,1.0,True
200504,2023,101,101,1.0,True
200504,2024,94,94,1.0,True
200505,2015,16,16,1.0,True
200505,2016,36,36,1.0,True
200505,2017,29,29,1.0,True
200505,2018,29,29,1.0,True
200505,2019,34,34,1.0,True
200505,2020,29,29,1.0,True
200505,2021,28,28,1.0,True
200505,2022,27,27,1.0,True
200505,2023,45,45,1.0,True
200505,2024,58,58,1.0,True
200506,2015,7,7,1.0,True
200506,2016,19,19,1.0,True
200506,2017,15,15,1.0,True
200506,2018,17,17,1.0,True
200506,2019,16,16,1.0,True
200506,2020,18,18,1.0,True
200506,2021,42,42,1.0,True
200506,2022,27,27,1.0,True
200506,2023,30,30,1.0,True
200506,2024,35,35,1.0,True
200507,2015,11,11,1.0,True
200507,2016,40,40,1.0,True
200507,2017,35,35,1.0,True
200507,2018,24,24,1.0,True
200507,2019,38,38,1.0,True
200507,2020,41,41,1.0,True
200507,2021,38,38,1.0,True
200507,2022,38,38,1.0,True
200507,2023,29,29,1.0,True
200507,2024,38,38,1.0,True
200601,2015,48,48,1.0,True
200601,2016,97,97,1.0,True
200601,2017,99,99,1.0,True
200601,2018,88,88,1.0,True
200601,2019,97,97,1.0,True
200601,2020,96,96,1.0,True
200601,2021,94,94,1.0,True
200601,2022,153,153,1.0,True
200601,2023,134,134,1.0,True
200601,2024,123,123,1.0,True
200603,2015,14,14,1.0,True
200603,2016,37,37,1.0,True
200603,2017,32,32,1.0,True
200603,2018,35,35,1.0,True
200603,2019,35,35,1.0,True
200603,2020,28,28,1.0,True
200603,2021,32,32,1.0,True
200603,2022,47,47,1.0,True
200603,2023,58,58,1.0,True
200603,2024,54,54,1.0,True
200605,2015,29,29,1.0,True
200605,2016,87,87,1.0,True
200605,2017,67,67,1.0,True
200605,2018,52,52,1.0,True
200605,2019,63,63,1.0,True
200605,2020,53,53,1.0,True
200605,2021,56,56,1.0,True
200605,2022,62,62,1.0,True
200605,2023,67,67,1.0,True
200605,2024,77,77,1.0,True
200606,2015,11,11,1.0,True
200606,2016,28,28,1.0,True
200606,2017,30,30,1.0,True
200606,2018,30,30,1.0,True
200606,2019,39,39,1.0,True
200606,2020,36,36,1.0,True
200606,2021,42,42,1.0,True
200606,2022,64,64,1.0,True
200606,2023,68,68,1.0,True
200606,2024,63,63,1.0,True
200607,2015,16,16,1.0,True
200607,2016,53,53,1.0,True
200607,2017,41,41,1.0,True
200607,2018,32,32,1.0,True
200607,2019,39,39,1.0,True
200607,2020,33,33,1.0,True
200607,2021,31,31,1.0,True
200607,2022,39,39,1.0,True
200607,2023,55,55,1.0,True
200607,2024,49,49,1.0,True
200608,2015,23,23,1.0,True
200608,2016,69,69,1.0,True
200608,2017,52,52,1.0,True
200608,2018,45,45,1.0,True
200608,2019,54,54,1.0,True
200608,2020,45,45,1.0,True
200608,2021,40,40,1.0,True
200608,2022,57,57,1.0,True
200608,2023,54,54,1.0,True
200608,2024,59,59,1.0,True
200801,2015,10,10,1.0,True
200801,2016,21,21,1.0,True
200801,2017,11,11,1.0,True
200801,2018,23,23,1.0,True
200801,2019,16,16,1.0,True
200801,2020,29,29,1.0,True
200801,2021,38,38,1.0,True
200801,2022,36,36,1.0,True
200801,2023,42,42,1.0,True
200801,2024,51,51,1.0,True
200802,2015,15,15,1.0,True
200802,2016,24,24,1.0,True
200802,2017,15,15,1.0,True
200802,2018,33,33,1.0,True
200802,2019,21,21,1.0,True
200802,2020,30,30,1.0,True
200802,2021,34,34,1.0,True
200802,2022,24,24,1.0,True
200802,2023,37,37,1.0,True
200802,2024,45,45,1.0,True
200803,2015,18,18,1.0,True
200803,2016,44,44,1.0,True
200803,2017,37,37,1.0,True
200803,2018,48,48,1.0,True
200803,2019,66,66,1.0,True
200803,2020,53,53,1.0,True
200803,2021,67,67,1.0,True
200803,2022,79,79,1.0,True
200803,2023,93,93,1.0,True
200803,2024,97,97,1.0,True
200804,2015,10,10,1.0,True
200804,2016,19,19,1.0,True
200804,2017,16,16,1.0,True
200804,2018,25,25,1.0,True
200804,2019,18,18,1.0,True
200804,2020,36,36,1.0,True
200804,2021,44,44,1.0,True
200804,2022,47,47,1.0,True
200804,2023,57,57,1.0,True
200804,2024,64,64,1.0,True
200805,2015,15,15,1.0,True
200805,2016,43,43,1.0,True
200805,2017,32,32,1.0,True
200805,2018,36,36,1.0,True
200805,2019,28,28,1.0,True
200805,2020,41,41,1.0,True
200805,2021,41,41,1.0,True
200805,2022,36,36,1.0,True
200805,2023,44,44,1.0,True
200805,2024,61,61,1.0,True
200806,2015,20,20,1.0,True
200806,2016,41,41,1.0,True
200806,2017,35,35,1.0,True
200806,2018,48,48,1.0,True
200806,2019,41,41,1.0,True
200806,2020,31,31,1.0,True
200806,2021,43,43,1.0,True
200806,2022,30,30,1.0,True
200806,2023,50,50,1.0,True
200806,2024,55,55,1.0,True
